BEZ,Feature,H-statistic,p-value
1,IstFuss,7413.048822919391,0.0
1,UART,5947.821971161451,0.0
1,UTYP1,2099.693682982603,0.0
1,IstRad,701.8747744429343,8.232212286698944e-152
1,IstPKW,678.44553460799,9.902852307574601e-147
1,IstKrad,197.14719949293257,1.74401939435902e-42
1,UKATEGORIE,142.21377908618697,1.259225137312114e-30
1,ULICHTVERH,73.44560262258898,7.802070117535264e-16
1,IstSonstige,53.88025020121513,1.1900200501745684e-11
1,IstGkfz,50.25611682418209,7.046196402337614e-11
1,UJAHR,17.673356005993135,0.0005136202447927075
1,USTUNDE,15.872531456195206,0.0012043003010035072
1,USTRZUSTAND,11.187636550872602,0.01075334053702966
1,UWOCHENTAG,2.63416929537308,0.4515306929795847
1,UMONAT,0.7107451224709022,0.8706737248790494
2,IstFuss,4699.454231173108,0.0
2,UART,3627.2166703742564,0.0
2,UTYP1,722.6276132032577,1.2117347353093321e-157
2,IstRad,294.54146150762716,1.0993457144644792e-64
2,IstPKW,251.34426983457132,2.638063690244803e-55
2,IstKrad,105.10749296720353,1.5003683659534343e-23
2,UKATEGORIE,83.97648616152934,5.817517859332906e-19
2,ULICHTVERH,30.36517770146502,2.5485047132712364e-07
2,UJAHR,19.105490414540927,7.100606888868849e-05
2,IstGkfz,17.200796087377768,0.00018403252610113639
2,IstSonstige,13.46703681902725,0.001190337487037685
2,USTUNDE,11.889549111675029,0.002619492831167802
2,USTRZUSTAND,9.089148652863042,0.010624694405383758
2,UMONAT,7.416710181067818,0.02451781971430273
2,UWOCHENTAG,0.11657232772037826,0.9433799475591188
3,IstFuss,4418.284977646593,0.0
3,UART,3044.865977710867,0.0
3,UTYP1,1021.1348876138138,1.8339036513912474e-222
3,IstRad,297.6107452063805,2.3694513759828203e-65
3,IstPKW,209.95925503879917,2.558156183892389e-46
3,IstKrad,119.3144317925558,1.2336737686980948e-26
3,UKATEGORIE,33.506925329080474,5.2974103048233184e-08
3,IstGkfz,26.40686602653848,1.8442589518503327e-06
3,IstSonstige,23.325624624130892,8.608053735430388e-06
3,ULICHTVERH,18.938102100207068,7.720463606327508e-05
3,UMONAT,8.10365877012523,0.017390531543095823
3,USTRZUSTAND,6.861096704769707,0.03236918618502629
3,UWOCHENTAG,3.7335609755506574,0.15462066445219252
3,UJAHR,3.097012439184606,0.2125652626125054
3,USTUNDE,3.080626995200874,0.214313903999768
4,IstFuss,6036.779601739785,0.0
4,USTRZUSTAND,3976.766423941185,0.0
4,ULICHTVERH,3848.337276822548,0.0
4,UART,2358.885939291964,0.0
4,UTYP1,1407.2689549310192,3.662175237854973e-302
4,IstRad,714.8958622760791,2.9535214059578798e-152
4,USTUNDE,495.7741561789915,6.5219850690467925e-105
4,IstPKW,194.27294641218472,4.7675144556155045e-40
4,IstKrad,126.49191399094117,1.320692264513008e-25
4,UKATEGORIE,76.33147804729872,4.905222635909065e-15
4,IstGkfz,74.82386766417986,1.0124558263462912e-14
4,UMONAT,49.81012086715531,1.5154795544409841e-09
4,IstSonstige,28.675910985669848,2.6840969582930437e-05
4,UJAHR,23.527647201507694,0.0002675141154574169
4,UWOCHENTAG,7.28834847938304,0.20006344703763518
5,IstFuss,2843.2149573395236,0.0
5,UART,1528.8231152246358,0.0
5,UTYP1,1062.0112857400816,6.347349749449833e-230
5,IstRad,366.33001983846594,4.340142030625095e-79
5,ULICHTVERH,343.6732859392252,3.495950969678847e-74
5,USTRZUSTAND,316.5195478329706,2.6433791518879805e-68
5,IstPKW,105.258835580841,1.1494030028352099e-22
5,IstKrad,98.58470710476551,3.1317553813601394e-21
5,UKATEGORIE,76.98109045974671,1.3628129050495934e-16
5,IstGkfz,26.451188108461537,7.672470607949766e-06
5,IstSonstige,18.47793586827588,0.00035048725968133494
5,USTUNDE,17.351291169215454,0.0005983793874253446
5,UMONAT,4.97064186212283,0.17395955720328515
5,UJAHR,4.1627586055451875,0.244417004327368
5,UWOCHENTAG,3.7146294208269497,0.2939735400315501
6,IstFuss,3194.664478236735,0.0
6,UART,1782.5509812212574,0.0
6,USTRZUSTAND,1504.3113620940908,0.0
6,ULICHTVERH,892.3949023130799,7.403011823488827e-192
6,UTYP1,590.2912800303595,1.9560615970805478e-126
6,IstRad,343.08158765712835,5.466024963120494e-73
6,IstPKW,171.97759188609479,3.935534609866006e-36
6,IstKrad,96.9648845252222,4.353053279249631e-20
6,UKATEGORIE,79.85198301280694,1.8722395448592217e-16
6,USTUNDE,68.47803671174503,4.755619116404848e-14
6,IstSonstige,31.73392402183903,2.168217377760153e-06
6,UMONAT,14.082182002221886,0.007037331489402957
6,IstGkfz,11.084232080385844,0.025633495275734698
6,UJAHR,6.500770887973961,0.1647418175879069
6,UWOCHENTAG,3.40698352659153,0.4921618859423432
7,IstFuss,4432.52204113777,0.0
7,UART,2973.051705205447,0.0
7,USTRZUSTAND,2031.650287768949,0.0
7,UTYP1,1253.4469757601487,4.123024483167861e-270
7,IstRad,428.50491463474987,1.924368196841968e-91
7,IstPKW,313.70192385445705,1.1987813741924309e-66
7,IstKrad,159.60074023846207,1.780544997430272e-33
7,ULICHTVERH,63.323654063291585,5.800744110349787e-13
7,UKATEGORIE,61.985830252517545,1.1091794033371865e-12
7,IstGkfz,57.66330749972885,8.979438946145544e-12
7,IstSonstige,48.00172033048142,9.430046197120337e-10
7,USTUNDE,14.607792810272981,0.005587789244172408
7,UJAHR,10.73169496116188,0.02975077459726844
7,UWOCHENTAG,4.828744731255036,0.3053249447092077
7,UMONAT,1.8275019072605787,0.7674470536780693
8,IstFuss,3268.368142733263,0.0
8,UART,1714.1309743734062,0.0
8,USTRZUSTAND,1346.9854009307253,2.1617916735365203e-290
8,ULICHTVERH,1072.7918772205521,5.977204657055095e-231
8,UTYP1,591.3730671648917,1.1409534514260845e-126
8,IstRad,338.34924784897817,5.744988332945784e-72
8,IstPKW,157.26348558208784,5.64617356109977e-33
8,USTUNDE,107.52106766289785,2.457901564514331e-22
8,IstKrad,88.89214958737806,2.2636608183987252e-18
8,UKATEGORIE,49.63216014863836,4.30926955130979e-10
8,IstGkfz,29.089071021569325,7.498359100065223e-06
8,IstSonstige,26.330222848086848,2.714468148154306e-05
8,UJAHR,9.530790653955252,0.04911839837841121
8,UMONAT,4.060331057253503,0.3979024991626154
8,UWOCHENTAG,1.8940764293802064,0.755233080849258
9,IstFuss,3278.3584828559724,0.0
9,UART,1906.4799873165293,0.0
9,UTYP1,707.1723013876408,2.750970138937971e-154
9,IstRad,335.45052989474146,1.4382783977115868e-73
9,IstPKW,140.45024948036303,3.1740651328295193e-31
9,IstKrad,57.86290358714084,2.7241444495546447e-13
9,UKATEGORIE,52.0942550792262,4.873895800415837e-12
9,ULICHTVERH,17.73308852942516,0.00014102910580882514
9,USTRZUSTAND,16.548739469614013,0.000254968707809864
9,IstSonstige,14.925448721471225,0.0005740900107785219
9,IstGkfz,12.084384050546623,0.002376344193775237
9,USTUNDE,5.240851189960221,0.07277188488697414
9,UJAHR,4.958713012496297,0.08379713117671773
9,UWOCHENTAG,0.835250932635689,0.6586088534362351
9,UMONAT,0.7515326548245048,0.6867627919329086
10,IstFuss,2249.354825875371,0.0
10,UART,1421.745308191684,1.870376297660434e-309
10,UTYP1,435.7177068564354,2.4271807684106243e-95
10,IstRad,276.20665434950723,1.0531423454596779e-60
10,IstPKW,106.87870742340307,6.188473941256799e-24
10,IstKrad,66.69076892358225,3.2982496976751866e-15
10,UKATEGORIE,60.59572949404335,6.94711562116293e-14
10,ULICHTVERH,37.29818813645897,7.957952703456153e-09
10,USTRZUSTAND,30.47624572477722,2.410834103280495e-07
10,IstGkfz,19.250863546726297,6.602799274456847e-05
10,IstSonstige,11.143931241689767,0.003802997829214489
10,USTUNDE,5.488814100009547,0.06428640827099447
10,UWOCHENTAG,4.630757747441697,0.09872877117832003
10,UMONAT,4.4571919585215,0.10767950831539524
10,UJAHR,1.1008245172771893,0.5767120068587679
11,IstFuss,2592.4190884331842,0.0
11,UART,1735.3769869859163,0.0
11,UTYP1,942.9552474984145,4.261035026670446e-204
11,IstRad,413.6619332335579,2.4308684042850208e-89
11,IstPKW,214.84847020652566,2.6077210843213217e-46
11,UKATEGORIE,107.33326998113263,4.113153730050306e-23
11,IstKrad,75.1426551487864,3.3770034262699145e-16
11,IstGkfz,50.353676509193065,6.716998244200766e-11
11,ULICHTVERH,35.398224800849235,1.0036693508866212e-07
11,USTRZUSTAND,27.80784287283876,3.985459287812846e-06
11,IstSonstige,14.285710611957176,0.0025409542791041007
11,USTUNDE,4.939141887022148,0.17630810153006066
11,UJAHR,3.47242153427077,0.324356609495665
11,UMONAT,2.448904929591652,0.4845959131766052
11,UWOCHENTAG,1.344994072384472,0.718477517951922
12,IstFuss,3125.6182316373015,0.0
12,UART,2178.2018761206855,0.0
12,UTYP1,938.311233464591,4.3339123907505954e-203
12,IstRad,276.76599306799034,1.0606824893180648e-59
12,IstPKW,273.6263730362938,5.068572374186766e-59
12,IstKrad,112.85716070463694,2.6630654714172746e-24
12,UKATEGORIE,77.75437426129658,9.30328092479855e-17
12,ULICHTVERH,59.60622728624425,7.134590579150195e-13
12,IstGkfz,35.127818115335394,1.144803187738285e-07
12,IstSonstige,28.827955548251737,2.4338032094007787e-06
12,USTRZUSTAND,19.45385272415498,0.00022024463796651891
12,USTUNDE,9.24038707767162,0.02625979347214459
12,UMONAT,7.616106041381687,0.05464905308196543
12,UJAHR,3.9554529838490176,0.2663147550216174
12,UWOCHENTAG,0.47985371107515096,0.9232946396335906
